RTW,MedianIncome,MinWage,InequalityIndex,UnionMembership,DemVotes,MarginShift,Immigrant,IsInitial,PercentVoters,NumEligibleVoters,success,RelativeDateFiled,RelativeTallyDate,FileToTallyDays,NumElectionsInState
0,39677.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.75,36,1,0,101,101,1
0,85208.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.6896551724,29,0,0,101,101,2
0,85208.00,13,0.5149,20.7,0.61,0.01,22.8,0,0.5217391304,46,1,0,133,133,3
0,55459.00,13,0.5149,20.7,0.61,0.01,22.8,0,0.5666666667,30,0,71,350,279,4
0,80744.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.6136363636,44,1,72,191,119,5
0,62740.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.7297297297,37,1,72,191,119,6
1,61640.00,13,0.4591,5.5,0.49,0.02,13.4,1,0.6511627907,43,1,80,179,99,1
0,68206.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.3793103448,29,1,105,224,119,1
0,113642.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.6666666667,21,1,105,224,119,2
0,97185.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.6923076923,13,1,112,204,92,1
1,41598.00,7,0.4749,5.5,0.38,0.02,5.1,1,0.5555555556,27,1,119,218,99,1
0,116073.00,13,0.4548,6.7,0.55,0.03,9.5,1,0.4666666667,30,1,122,235,113,1
0,62097.00,12,0.48,13.1,0.58,0.02,14.1,1,0.9285714286,14,0,126,281,155,1
0,52689.00,14,0.45,15.5,0.57,0.03,10.3,1,0.6071428571,28,1,130,226,96,1
0,62097.00,12,0.48,13.1,0.58,0.02,14.1,1,0.8181818182,22,0,133,281,148,2
0,31838.00,9,0.4651,12.8,0.45,0.02,4.8,1,0.4545454545,22,1,133,267,134,1
0,153281.00,13,0.4782,14.9,0.57,0.01,22.8,1,0.5769230769,26,1,134,238,104,1
1,46461.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.4857142857,35,1,134,246,112,1
0,62097.00,12,0.48,13.1,0.58,0.02,14.1,1,0.6153846154,13,1,137,281,144,3
0,122629.00,12,0.48,13.1,0.58,0.02,14.1,1,0.8333333333,18,0,137,249,112,4
0,76298.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.5,14,1,141,246,105,3
0,68656.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.4545454545,22,1,141,246,105,4
1,61640.00,13,0.4591,5.5,0.49,0.02,13.4,1,0.5,28,1,141,207,66,2
1,41864.00,7,0.4749,5.5,0.38,0.02,5.1,1,0.5833333333,24,1,142,281,139,2
