DateFiled,TallyDate,City,State,RTW,MedianIncome,MinWage,InequalityIndex,UnionMembership,White,Black,Indigenous,Asian,PacificIslander,Other,Mixed,Latino,DemVotes,MarginShift,Immigrant,Address,Status,Case Name,Labor Union,Ballot Type,IsInitial,IsRevised,VotesFor,VotesAgainst,PercentVoters,NumEligibleVoters,success,Case
8/30/2021,12/9/2021,Buffalo,NY,0,"39,677.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,,Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,19,8,0.75,36,1,03-RC-282115
8/30/2021,12/9/2021,Hamburg,NY,0,"85,208.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,,Open,Starbucks Corporation,Workers United Upstate,Initial,1,0,8,12,0.6896551724,29,0,03-RC-282127
8/30/2021,1/10/2022,Hamburg (Town),NY,0,"85,208.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,,Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Revised,0,1,15,9,0.5217391304,46,1,03-RC-282139
11/9/2021,8/15/2022,Cheektowaga,NY,0,"55,459.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"1775 Walden Avenue, Cheektowaga, NY",Voted Failed,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Revised,0,1,8,9,0.5666666667,30,0,03-RC-285929
11/10/2021,3/9/2022,Amherst,NY,0,"80,744.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"3186 Sheridan Drive, Amherst, NY",Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,15,12,0.6136363636,44,1,03-RC-285986
11/10/2021,3/9/2022,Depew,NY,0,"62,740.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"4770 Transit Road, Depew, New York",Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,15,12,0.7297297297,37,1,03-RC-285989
11/18/2021,2/25/2022,Mesa,AZ,1,"61,640.00",13,0.4591,5.5,0.5337,0.0443,0.0369,0.0348,0.002,0.0044,0.0373,0.3065,0.49,0.02,13.4,"6807 E. Baseline Road, #102, Suite 100, Mesa, Arizona",Unionized,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,Initial,1,0,25,3,0.6511627907,43,1,28-RC-286556
12/13/2021,4/11/2022,Allston,MA,0,"68,206.00",14,0.4803,12.7,0.6755,0.065,0.0013,0.0718,0.0002,0.0131,0.0467,0.1263,0.66,0.02,17.4,"1304 Commonwealth Ave., Allston, MA",Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,11,0,0.3793103448,29,1,01-RC-287618
12/13/2021,4/11/2022,Brookline,MA,0,"113,642.00",14,0.4803,12.7,0.6755,0.065,0.0013,0.0718,0.0002,0.0131,0.0467,0.1263,0.66,0.02,17.4,"277 Harvard St., Brookline, MA",Unionized,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,Initial,1,0,14,0,0.6666666667,21,1,01-RC-287639
12/20/2021,3/22/2022,Seattle,WA,0,"97,185.00",14,0.4577,18,0.6384,0.0384,0.0118,0.0938,0.0081,0.0056,0.0663,0.1375,0.58,0.03,14.7,"101 Broadway E, Seattle, WA",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,9,0,0.6923076923,13,1,19-RC-287954
